author,isbn,pages,title
Rebecca  James,9.78E+12,272 pages,Beautiful Malice
Marc-Uwe Kling,9.78E+12,271 pages,Die Känguru-Chroniken: Ansichten eines vorlauten Beuteltiers
Rudyard Kipling,9.78E+12,161 pages,Captains Courageous
David Mitchell,9.78E+12,624 pages,The Bone Clocks
James Sillwood,9.78E+12,196 pages,Sensual Desires
Christelle Dabos,9.78E+12,528 pages,Les Fiancés de l'hiver
Patrick Ness|Jim Kay|Carlos Jiménez Arribas,9.79E+12,224 pages,Un monstruo viene a verme
Irvine Welsh,9.78E+12,288 pages,Marabou Stork Nightmares
Karen Kingsbury|Gary Smalley,9.78E+12,432 pages,Remember
Shelly Laurenston,9.78E+12,342 pages,Pack Challenge
Lisa M. Klein,9.78E+12,328 pages,Ophelia
Rachel Vincent,9.78E+12,472 pages,Alpha
Laurann Dohner,9.78E+12,203 pages,Wrath
Clarice Lispector|Giovanni Pontiero,9.78E+12,96 pages,The Hour of the Star
Witold Gombrowicz|Danuta Borchardt,9.78E+12,208 pages,Cosmos
Richard Paul Evans,9.78E+12,335 pages,Rise of the Elgen
Yasunari Kawabata|Howard Hibbett,9.78E+12,206 pages,Beauty and Sadness
Lars Saabye Christensen,9.79E+12,732 pages,Beatles
Romain Gary|سروش حبیبی,9.79E+12,288 pages,خداحافظ گاری کوپر
Ryan Graudin,9.78E+12,388 pages,Wolf by Wolf
Stephen Chbosky,9.78E+12,231 pages,The Perks of Being a Wallflower
David Gemmell,9.78E+12,528 pages,Lion of Macedon
J.D. Robb,9.78E+12,308 pages,Holiday in Death
L.J. Smith,9.78E+12,311 pages,The Awakening
Cynthia Lord,9.78E+12,208 pages,Rules
V.C. Andrews,9.78E+12,403 pages,My Sweet Audrina
June Rae Wood,9.78E+12,224 pages,The Man Who Loved Clowns
Steven Erikson,9.78E+12,829 pages,Toll the Hounds
Gordon Korman,9.78E+12,256 pages,Swindle
Scott B. Smith,9.78E+12,319 pages,The Ruins
Sebastian Fitzek,9.78E+12,336 pages,Die Therapie
Lora Leigh,9.78E+12,418 pages,Wild Card
Alan Moore|Kevin O'Neill,9.78E+12,228 pages,"The League of Extraordinary Gentlemen, Vol. 2"
Maud Hart Lovelace|Lois Lenski,9.78E+12,240 pages,Betsy and Tacy Go Downtown
Annemarie Selinko,9.79E+12,607 pages,Désirée
Jen Calonita,9.78E+12,297 pages,Sleepaway Girls
Mercedes Lackey,9.78E+12,448 pages,Joust
Claudia Gray,9.78E+12,360 pages,Afterlife
Ted Dekker,9.78E+12,400 pages,Blink
Edward Gibbon|Daniel J. Boorstin|Gian Battista Piranesi|Hans-Friedrich Mueller,9.78E+12,1312 pages,The Decline and Fall of the Roman Empire
Darren Shan,9.78E+12,241 pages,Bec
Barry Hines,9.78E+12,208 pages,A Kestrel for a Knave
Roger Zelazny,9.78E+12,236 pages,Jack of Shadows
Jude Watson,9.78E+12,190 pages,Beyond the Grave
Anthony Horowitz,9.78E+12,368 pages,Nightrise
Simon Beckett,9.78E+12,352 pages,Written in Bone
Natalie D. Richards,9.78E+12,323 pages,Six Months Later
James Sillwood,9.78E+12,192 pages,Clandestine Liaisons
Jim Thompson,9.78E+12,244 pages,The Killer Inside Me
Gary Larson|Steve Martin|Jake Morrissey,9.78E+12,1272 pages,"The Complete Far Side, 1980–1994"
Andy Andrews,9.78E+12,227 pages,The Traveler's Gift: Seven Decisions that Determine Personal Success
Pema Chödrön,9.78E+12,160 pages,When Things Fall Apart: Heart Advice for Difficult Times
Laura Wiess,9.78E+12,232 pages,Leftovers
Ariana Franklin,9.78E+12,384 pages,Mistress of the Art of Death
Karsten Knight,9.78E+12,393 pages,Wildefire
Julian Jaynes,9.78E+12,512 pages,The Origin of Consciousness in the Breakdown of the Bicameral Mind
Wendy Alec,9.78E+12,292 pages,The Fall of Lucifer
Noel Streatfeild|Diane Goode,9.78E+12,233 pages,Ballet Shoes
Graeme Simsion,9.78E+12,327 pages,The Rosie Project
Joey W. Hill,9.78E+12,373 pages,The Vampire Queen's Servant
C.S. Pacat,9.78E+12,404 pages,Prince's Gambit
Mary E. Pearson,9.78E+12,679 pages,The Beauty of Darkness
Marilyn Wann,9.78E+12,216 pages,Fat! So?: Because You Don't Have to Apologize for Your Size
Laurell K. Hamilton,9.78E+12,320 pages,Hit List
Frederick Forsyth,9.78E+12,334 pages,The Odessa File
Alex Scarrow,9.78E+12,425 pages,TimeRiders
Johanna Sinisalo|Herbert Lomas,9.78E+12,278 pages,Troll: A Love Story
أحمد خيري العمري,9.79E+12,392 pages,ألواح ودسر
Kate Avelynn,9.78E+12,336 pages,Flawed
Euclid|Thomas L. Heath|Dana Densmore,9.78E+12,499 pages,Euclid's Elements
Lang Leav,9.78E+12,248 pages,Lullabies
George MacDonald,9.78E+12,216 pages,Phantastes
Sarah Dessen,9.78E+12,417 pages,Saint Anything
Anna Funder,9.78E+12,288 pages,Stasiland: Stories from Behind the Berlin Wall
Dan Simmons,9.78E+12,775 pages,Drood
Graham Greene,9.78E+12,254 pages,Travels With My Aunt
Victoria Holt,9.78E+12,384 pages,On the Night of the Seventh Moon
Dimitri Verhulst,9.79E+12,207 pages,De helaasheid der dingen
Julie James,9.78E+12,291 pages,Practice Makes Perfect
Bertolt Brecht|David Hare,9.78E+12,112 pages,Mother Courage and Her Children
R. Scott Bakker,9.78E+12,624 pages,The Warrior Prophet
Jessica Shirvington,9.78E+12,464 pages,Empower
Lynsay Sands,9.78E+12,358 pages,Vampire Most Wanted
Ludovico Ariosto|Guido Waldman,9.78E+12,656 pages,Orlando Furioso
Cassandra Clare,9.78E+12,570 pages,Clockwork Princess
Mark Manson,9.78E+12,224 pages,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life
Elsa Blomster|Lena Gunnarsson|Emelie Johnson Vegh|Jenny Nyberg|Johanna Simonsson,9.79E+12,254 pages,Retrieving for All Occasions
Bruce Campbell,9.78E+12,344 pages,If Chins Could Kill: Confessions of A B Movie Actor
Thea Beckman,9.79E+12,307 pages,Kruistocht in spijkerbroek
Tad Williams,9.78E+12,364 pages,Tailchaser's Song
Eva Rice,9.78E+12,352 pages,The Lost Art of Keeping Secrets
Ted Dekker,9.78E+12,384 pages,The Bride Collector
Rebecca West|Christopher Hitchens,9.78E+12,1181 pages,Black Lamb and Grey Falcon
Ridley Pearson,9.78E+12,547 pages,Disney in Shadow
Deborah Blum,9.78E+12,319 pages,The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York
Victoria Dougherty,9.78E+12,308 pages,The Bone Church
Anne Elisabeth Stengl,9.78E+12,570 pages,Golden Daughter
Don DeLillo,9.78E+12,480 pages,Libra
Benjamin Alire Sáenz,9.78E+12,239 pages,Last Night I Sang to the Monster
Neal Shusterman,9.78E+12,435 pages,Scythe
Victoria Schwab,9.78E+12,510 pages,Our Dark Duet
Jim Crace,9.78E+12,196 pages,Being Dead
Nora Roberts,9.78E+12,506 pages,Valley of Silence
Kristin Hannah,9.78E+12,344 pages,True Colors
Janell Cannon,9.78E+12,48 pages,Stellaluna
Julie Klassen,9.78E+12,415 pages,The Apothecary's Daughter
Joy Adamson,9.78E+12,224 pages,Born Free: A Lioness of Two Worlds
Alex   Sanchez,9.78E+12,272 pages,The God Box
Gabriel García Márquez,9.78E+12,104 pages,El coronel no tiene quien le escriba
Clive Barker,9.78E+12,507 pages,Books of Blood: Volumes One to Three
Trenton Lee Stewart|Del Roy,9.78E+12,470 pages,The Extraordinary Education of Nicholas Benedict
Reginald Rose|David Mamet,9.78E+12,79 pages,Twelve Angry Men
Søren Kierkegaard|Alastair Hannay,9.78E+12,160 pages,Fear and Trembling
Karin Slaughter,9.78E+12,393 pages,Triptych
Wu Cheng'en|Arthur Waley|Hu Shih,9.78E+12,306 pages,Monkey: The Journey to the West
Mark  Lawrence,9.78E+12,449 pages,King of Thorns
Idries Shah|Robert Graves,9.78E+12,451 pages,The Sufis
Cassandra Clare|Hye-Kyung Baek|Hyekyung Baek,9.78E+12,243 pages,The Infernal Devices: Clockwork Angel
Giorgio Faletti,9.79E+12,682 pages,Io uccido
Mhairi McFarlane,9.78E+12,436 pages,You Had Me At Hello
Kelly Elliott,9.78E+12,503 pages,Wanted
Friedrich Dürrenmatt|John J. Neumaier|William Gillis,9.78E+12,208 pages,Der Richter und sein Henker
Lian Hearn,9.78E+12,368 pages,Grass for His Pillow
Robyn Schneider,9.78E+12,336 pages,Extraordinary Means
John Paul II|The Catholic Church|Pope Benedict XVI|United States Conference of Catholic Bishops,9.78E+12,864 pages,Catechism of the Catholic Church
Anne Rice,9.78E+12,883 pages,Lasher
Gail Carriger,9.78E+12,400 pages,Changeless
A.N. Roquelaure|Anne Rice,9.78E+12,233 pages,Beauty's Punishment
Sandra Carvalho,9.79E+12,360 pages,A Última Feiticeira
Tess Gerritsen,9.78E+12,355 pages,The Mephisto Club
Christine Feehan,9.78E+12,384 pages,Dark Guardian
Daniel C. Dennett,9.78E+12,588 pages,Darwin's Dangerous Idea: Evolution and the Meanings of Life
Rachel Vincent,9.78E+12,339 pages,Before I Wake
Julian May,9.78E+12,432 pages,Magnificat
Julian May,9.78E+12,480 pages,Jack the Bodiless
Georgette Heyer,9.78E+12,328 pages,The Grand Sophy
Lucy Dillon,9.78E+12,420 pages,Lost Dogs and Lonely Hearts
Anne Blankman,9.78E+12,401 pages,Prisoner of Night and Fog
María Dueñas|Daniel Hahn,9.78E+12,615 pages,The Time in Between
Janet E. Morris|Chris Morris,9.78E+12,402 pages,The Fish the Fighters and the Song-Girl: Sacred Band of Stepsons: Sacred Band Tales 2
Kerstin Gier,9.78E+12,416 pages,Silber: Das zweite Buch der Träume
Alastair Reynolds,9.78E+12,585 pages,Revelation Space
Elizabeth Moon,9.78E+12,369 pages,The Speed of Dark
Jane Smiley,9.78E+12,640 pages,Horse Heaven
Molly Harper,9.78E+12,376 pages,Nice Girls Don't Date Dead Men
Lois McMaster Bujold,9.78E+12,338 pages,Brothers in Arms
Robert Graysmith,9.78E+12,337 pages,Zodiac
Jennifer Crusie|Bob Mayer,9.78E+12,421 pages,Agnes and the Hitman
Alvin Schwartz|Stephen Gammell,9.78E+12,112 pages,Scary Stories to Tell in the Dark
Nova Ren Suma,9.78E+12,348 pages,Imaginary Girls
Jon McGregor,9.78E+12,275 pages,If Nobody Speaks of Remarkable Things
Cecelia Ahern,9.78E+12,305 pages,The Gift
Philip Pullman|Jacob Grimm|Wilhelm Grimm,9.78E+12,405 pages,Fairy Tales from the Brothers Grimm: A New English Version
Malcolm Gladwell,9.78E+12,444 pages,What the Dog Saw and Other Adventures
Sara Shepard,9.78E+12,371 pages,Seven Minutes in Heaven
Joanne Harris,9.78E+12,302 pages,The Gospel of Loki
Marie Rutkoski,9.78E+12,402 pages,The Winner's Crime
Joey W. Hill,9.78E+12,370 pages,The Mark of the Vampire Queen
Margaret Weis|Tracy Hickman,9.78E+12,411 pages,War of the Twins
Graham Hancock|Santha Faiia,9.78E+12,592 pages,Fingerprints of the Gods: The Evidence of Earth's Lost Civilization
Tamora Pierce,9.78E+12,251 pages,Tris's Book
Laura Whitcomb,9.78E+12,282 pages,A Certain Slant of Light
Caroline B. Cooney,9.78E+12,192 pages,The Face on the Milk Carton
Margaret Peterson Haddix,9.78E+12,208 pages,Among the Free
Djuna Barnes|Jeanette Winterson|T.S. Eliot,9.78E+12,182 pages,Nightwood
Julie Anne Peters,9.78E+12,248 pages,Luna
Michael Cunningham,9.78E+12,342 pages,A Home at the End of the World
Carl Sagan|Ann Druyan,9.78E+12,296 pages,Billions & Billions: Thoughts on Life and Death at the Brink of the Millennium
R.K. Narayan,9.78E+12,190 pages,Swami and Friends
Santiago Posteguillo,9.79E+12,1153 pages,Los asesinos del emperador
Neil Gaiman|Michael Zulli|Jon J. Muth|Charles Vess|Mikal Gilmore,9.78E+12,191 pages,The Wake
Isaac Asimov,9.78E+12,464 pages,Forward the Foundation
Larissa Ione,9.78E+12,414 pages,Immortal Rider
Gene Wolfe,9.78E+12,411 pages,Sword & Citadel
Jessica Spotswood,9.78E+12,330 pages,Born Wicked
Joel C. Rosenberg,9.78E+12,468 pages,The Auschwitz Escape
Waris Dirie|Cathleen Miller,9.78E+12,240 pages,Desert Flower
Rick Yancey,9.78E+12,338 pages,The Last Star
Patrick McCabe,9.78E+12,231 pages,The Butcher Boy
Vince Flynn,9.78E+12,512 pages,Executive Power
Catherynne M. Valente|Michael Wm. Kaluta,9.78E+12,516 pages,In the Cities of Coin and Spice
Kevin Brockmeier,9.78E+12,252 pages,The Brief History of the Dead
Abigail Roux,9.78E+12,330 pages,Armed & Dangerous
Bill Simmons,9.78E+12,736 pages,The Book of Basketball: The NBA According to The Sports Guy
Christopher Healy|Todd Harris,9.78E+12,436 pages,The Hero's Guide to Saving Your Kingdom
Ridley Pearson,9.78E+12,436 pages,Power Play
Edgar Allan Poe,9.78E+12,76 pages,The Masque of the Red Death
Anne Rice,9.78E+12,458 pages,Prince Lestat
Brandon Sanderson,9.78E+12,647 pages,The Final Empire
Takeshi Obata|Tsugumi Ohba,9.78E+12,193 pages,"Death Note, Vol. 9: Contact"
John     Nichols,9.78E+12,456 pages,The Milagro Beanfield War
Karen Kingsbury,25986247522,352 pages,One Tuesday Morning
Tim Willocks,9.78E+12,613 pages,The Religion
Julian May,9.78E+12,460 pages,Diamond Mask
Aimee Carter,9.78E+12,395 pages,The Goddess Legacy
Janusz Leon Wiśniewski,9.79E+12,317 pages,S@motność w Sieci
Amanda Hocking,9.78E+12,542 pages,Elegy
Apuleius|Jack Lindsay|Claudio Annaratone,9.78E+12,256 pages,The Golden Ass
Maggie O'Farrell,9.78E+12,277 pages,The Vanishing Act of Esme Lennox
William Shakespeare|Barbara A. Mowat|Paul Werstine,9.78E+12,336 pages,Measure for Measure
Carol Lynch Williams,9.78E+12,213 pages,The Chosen One
Wayne W. Dyer,9.78E+12,392 pages,Change Your Thoughts - Change Your Life: Living the Wisdom of the Tao
Isobelle Carmody,9.78E+12,616 pages,Darkfall
Wallace Breem|Steven Pressfield,9.78E+12,400 pages,Eagle in the Snow: A Novel of General Maximus and Rome's Last Stand
Jim Harrison,9.78E+12,336 pages,Dalva
Joe Hill|Gabriel Rodríguez,9.78E+12,168 pages,"Locke & Key, Vol. 1: Welcome to Lovecraft"
April Lindner,9.78E+12,373 pages,Jane
Helen Simonson,9.78E+12,359 pages,Major Pettigrew's Last Stand
Shan Sa,9.78E+12,336 pages,Empress
Tad Williams,9.78E+12,749 pages,Mountain of Black Glass
Brandon Sanderson,9.78E+12,175 pages,The Emperor's Soul
Douglas Preston|Lincoln Child,9.78E+12,388 pages,The Wheel of Darkness
Jennifer Lynn Barnes,9.78E+12,375 pages,Killer Instinct
Diane Chamberlain,9.78E+12,522 pages,The Secret Life of CeeCee Wilkes
Oscar Wilde,9.79E+12,306 pages,El retrato de Dorian Gray
Douglas Coupland,9.78E+12,291 pages,Life After God
Nelson DeMille,9.78E+12,637 pages,Gold Coast
Christopher Pike,9.78E+12,272 pages,Remember Me
Nora Roberts,9.78E+12,432 pages,Honest Illusions
Richard Kadrey,9.78E+12,388 pages,Sandman Slim
Meg Cabot,9.78E+12,540 pages,Vanished: When Lightning Strikes / Code Name Cassandra
Alejandro Casona,9.79E+12,136 pages,Los árboles mueren de pie
Amy Engel,9.78E+12,282 pages,The Book of Ivy
M.M. Kaye,9.78E+12,112 pages,The Ordinary Princess
Kerstin Gier,9.78E+12,343 pages,Rubinrot
Alexandra Bracken,9.78E+12,532 pages,Wayfarer
Leigh Bardugo,9.78E+12,546 pages,Crooked Kingdom
Tamora Pierce,9.78E+12,232 pages,Daja's Book
L.A. Meyer,9.78E+12,504 pages,"Curse of the Blue Tattoo: Being an Account of the Misadventures of Jacky Faber, Midshipman and Fine Lady"
Anne Rice,9.78E+12,416 pages,Servant of the Bones
Amy Hempel,9.78E+12,409 pages,The Collected Stories
Cornelia Funke|Oliver Latsch,9.78E+12,394 pages,Reckless
Julia Golding,9.78E+12,390 pages,Dragonfly
Sharon Kay Penman,9.78E+12,736 pages,Devil's Brood
R.J. Anderson,9.78E+12,415 pages,Ultraviolet
Victoria Hislop,9.78E+12,432 pages,The Return
Amanda Hocking,9.78E+12,342 pages,Tidal
Robert W. Chambers|E.F. Bleiler,9.78E+12,287 pages,The King in Yellow and Other Horror Stories
James Joyce|Declan Kiberd,9.78E+12,933 pages,Ulysses
Juan Rulfo,9.79E+12,210 pages,El Llano en llamas
Kurt Vonnegut,9.78E+12,318 pages,Bluebeard
John Keats,9.78E+12,416 pages,The Complete Poems
Maja Lidia Kossakowska,9.79E+12,560 pages,Siewca Wiatru
Sara Shepard,9.78E+12,312 pages,Wicked
Joan Bauer,9.78E+12,186 pages,Hope Was Here
Georgette Heyer,9.78E+12,320 pages,Arabella
Meg Cabot,9.78E+12,268 pages,Missing You
Anton Myrer,9.78E+12,1312 pages,Once An Eagle
Nancy Werlin,9.78E+12,259 pages,The Rules of Survival
Isaac Bashevis Singer|Cecil Hemley,9.78E+12,320 pages,The Slave
Neal Shusterman,9.78E+12,432 pages,Everwild
Sarah Mlynowski,9.78E+12,368 pages,Ten Things We Did (and Probably Shouldn't Have)
Peter Watts,9.78E+12,384 pages,Blindsight
Candice Millard,9.78E+12,416 pages,The River of Doubt: Theodore Roosevelt's Darkest Journey
Tad Williams,9.78E+12,675 pages,River of Blue Fire
Bernard Cornwell,9.78E+12,335 pages,Death of Kings
Kimberly McCreight,9.78E+12,382 pages,Reconstructing Amelia
Rae Carson,9.78E+12,410 pages,The Crown of Embers
René Barjavel,9.78E+12,394 pages,La Nuit des temps
Michael Moorcock,9.78E+12,530 pages,"The Dancers at the End of Time (Eternal Champion, #10)"
Margaret Weis|Tracy Hickman,9.78E+12,320 pages,Test of the Twins
Paul Auster,9.78E+12,188 pages,In the Country of Last Things
Lynn Viehl,9.78E+12,291 pages,If Angels Burn
Lloyd Alexander,9.78E+12,174 pages,The Castle of Llyr
Charlaine Harris,9.78E+12,293 pages,Grave Sight
David Almond,9.78E+12,208 pages,Skellig
Stephen Hunter,9.78E+12,528 pages,Point of Impact
Dante Alighieri|Mark Musa,9.78E+12,128 pages,Vita Nuova
Julian May,9.78E+12,472 pages,The Adversary
Robert Kirkman|Tony Moore|Charlie Adlard|Cliff Rathburn,9.78E+12,304 pages,"The Walking Dead, Book One"
William Gaddis|William H. Gass,9.78E+12,976 pages,The Recognitions
T.S. Eliot|Edward Gorey,9.78E+12,56 pages,Old Possum's Book of Practical Cats
Samuel Beckett,9.78E+12,288 pages,Murphy
Chelsea Fine,9.78E+12,385 pages,Anew
Joël Dicker|Vincenzo Vega,9.79E+12,779 pages,La verità sul caso Harry Quebert
Raina Telgemeier,9.78E+12,199 pages,Sisters
Marie Kondō|Cathy Hirano,9.78E+12,224 pages,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing
Bryce Courtenay,9.78E+12,900 pages,Tandia
Vince Flynn,9.78E+12,402 pages,The Third Option
Catherynne M. Valente,9.78E+12,367 pages,Palimpsest
Elmore Leonard,9.78E+12,400 pages,The Hot Kid
Lemony Snicket,9.78E+12,218 pages,Lemony Snicket: The Unauthorized Autobiography
Ernest Hemingway,9.78E+12,268 pages,The Nick Adams Stories
Patricia Briggs|Eileen Wilks|Karen Chance|Sunny,9.78E+12,341 pages,On the Prowl
James L. Swanson,9.78E+12,434 pages,Manhunt: The 12-Day Chase for Lincoln's Killer
Susan Faludi,9.78E+12,594 pages,Backlash: The Undeclared War Against American Women
Frank Beddor,9.78E+12,371 pages,Seeing Redd
Xinran|Esther Tyldesley,9.78E+12,256 pages,The Good Women of China: Hidden Voices
Marion Zimmer Bradley,9.78E+12,232 pages,The High Queen
Brian Sibley,9.78E+12,160 pages,Harry Potter: Film Wizardry
Chetan Bhagat,9.79E+12,267 pages,Five Point Someone
Alyson Noel,9.78E+12,352 pages,Horizon
Jean-Christophe Grangé,9.78E+12,328 pages,Crimson Rivers
Patricia Briggs,9.78E+12,288 pages,Moon Called
Fanny Burney|Edward A. Bloom,9.78E+12,455 pages,Evelina
Angela Sommer-Bodenburg,9.78E+12,168 pages,The Little Vampire
Richard Brautigan,9.78E+12,400 pages,Trout Fishing in America / The Pill vs. the Springhill Mine Disaster / In Watermelon Sugar
Anne Rice,9.78E+12,566 pages,Cry to Heaven
Patrick O'Brian,9.78E+12,379 pages,H.M.S. Surprise
Peter Matthiessen,9.78E+12,384 pages,At Play in the Fields of the Lord
Michael Crichton,9.78E+12,431 pages,Airframe
E.D. Baker,9.78E+12,261 pages,The Wide-Awake Princess
Marcel Proust|C.K. Scott Moncrieff|Terence Kilmartin|D.J. Enright,9.78E+12,957 pages,The Captive & The Fugitive
Mildred D. Taylor,9.78E+12,400 pages,The Land
Oriana Fallaci,9.78E+12,463 pages,A Man
Stefan Zweig,9.78E+12,96 pages,Brief einer Unbekannten
Paula Hawkins,9.78E+12,316 pages,The Girl on the Train
Rupi Kaur,9.78E+12,256 pages,The Sun and Her Flowers
Susane Colasanti,9.78E+12,290 pages,Take Me There
Sara Shepard,9.78E+12,274 pages,Heartless
Anne McCaffrey,9.78E+12,182 pages,Nerilka's Story
L.A. Meyer,9.78E+12,454 pages,"Rapture of the Deep: Being an Account of the Further Adventures of Jacky Faber, Soldier, Sailor, Mermaid, Spy"
Bryan Davis,9.78E+12,399 pages,Raising Dragons
Terry Brooks,9.78E+12,420 pages,Running with the Demon
Simon Holt,9.78E+12,266 pages,Soulstice
Matsuri Hino,9.78E+12,192 pages,"MeruPuri, Vol. 1"
Bryan Davis,9.78E+12,609 pages,Eye of the Oracle
Brian Greene,9.78E+12,569 pages,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality"
C.L. Wilson,9.78E+12,469 pages,Crown of Crystal Flame
Joan Bauer,9.78E+12,250 pages,Close to Famous
Sharon Kay Penman,9.78E+12,594 pages,Lionheart
Robert Rankin,9.78E+12,342 pages,The Hollow Chocolate Bunnies of the Apocalypse
Nalini Singh,9.78E+12,310 pages,Archangel's Blade
Oscar Wilde,9.78E+12,96 pages,The Happy Prince and Other Tales
Agatha Christie|Beata della Frattina,9.79E+12,210 pages,Dieci piccoli indiani
Joseph O'Connor,9.78E+12,432 pages,Star of the Sea
Kate Brian,9.78E+12,243 pages,Paradise Lost
Peter Matthiessen,9.78E+12,892 pages,Shadow Country
Thomas Mann|John J.   White|Ann White,9.78E+12,67 pages,Tonio Kröger
L.A. Meyer,9.78E+12,554 pages,"The Wake of the Lorelei Lee: Being an Account of the Adventures of Jacky Faber, on her Way to Botany Bay"
Marianne Curley,9.78E+12,336 pages,The Named
Vince Flynn,9.78E+12,612 pages,Term Limits
Suetonius|Michael Grant|Robert Graves,9.78E+12,363 pages,The Twelve Caesars
Meg Cabot,9.78E+12,343 pages,Awaken
Eugene B. Sledge|Paul Fussell,9.78E+12,326 pages,With the Old Breed: At Peleliu and Okinawa
Jay Kopelman|Melinda Roth,9.78E+12,196 pages,"From Baghdad, With Love: A Marine, the War, and a Dog Named Lava"
Nikos Kazantzakis|Νίκος Καζαντζάκης,9.78E+12,433 pages,Freedom or Death
Nora Roberts,9.78E+12,448 pages,Montana Sky
Jennifer Lynn Barnes,9.78E+12,260 pages,Tattoo
Jennifer Lynn Barnes,9.78E+12,275 pages,Perfect Cover
Curtis Sittenfeld,9.78E+12,555 pages,American Wife
Rick Riordan|Leah Wilson|Rafael Gustavo Spiegel|Elizabeth M. Rees|Janaína Senna|Nigel Rodgers|Ellen Steiber|Elizabeth E. Wein|Paul Collins|Kathy Appelt|Rosemary Clement-Moore|Cameron Dokey|Kathi Appelt|Sarah Beth Durst|Jenny Han|Carolyn MacCullough|Sophie Masson|Hilary Wagner|Paul     Collins,9.78E+12,190 pages,Demigods and Monsters: Your Favorite Authors on Rick Riordan's Percy Jackson and the Olympians Series
Sharon Creech,9.78E+12,112 pages,Love That Dog
Jean de La Fontaine|Craig Hill|Edward Sorel,9.78E+12,482 pages,Fables
Allan Frewin Jones,9.78E+12,312 pages,The Faerie Path
Kelley Armstrong,9.78E+12,309 pages,Waking the Witch
P.C. Cast|Kristin Cast,9.78E+12,145 pages,Dragon's Oath
James Herbert,9.78E+12,460 pages,Once...
Imre Kertész|Tim Wilkinson,9.78E+12,262 pages,Fatelessness
Laura Gallego García,9.79E+12,942 pages,Panteón
William Wordsworth|Samuel Taylor Coleridge|Michael         Schmidt,9.78E+12,128 pages,Lyrical Ballads
Robert Merle,9.78E+12,635 pages,Malevil
Patricia C. Wrede|Peter de Sève,9.78E+12,255 pages,Talking to Dragons
Nalini Singh,9.78E+12,328 pages,Mine to Possess
L.A. Meyer,9.78E+12,611 pages,"Mississippi Jack: Being an Account of the Further Waterborne Adventures of Jacky Faber, Midshipman, Fine Lady, and Lily of the West"
Melinda Haynes,9.78E+12,465 pages,Mother of Pearl
Emily Rodda,9.78E+12,352 pages,The Key to Rondo
Richard Feynman|Jeffrey Robbins|Freeman Dyson,9.78E+12,270 pages,The Pleasure of Finding Things Out: The Best Short Works of Richard P. Feynman
Aimee Carter,9.78E+12,92 pages,The Goddess Hunt
Miles  Cameron,9.78E+12,650 pages,The Red Knight
Patrick Ness|Siobhan Dowd|Jim Kay,9.78E+12,206 pages,A Monster Calls
Joseph Murphy|Ian McMahan,9.78E+12,304 pages,The Power of Your Subconscious Mind
Frank Warren,9.78E+12,144 pages,My Secret: A PostSecret Book
Liviu Rebreanu,9.79E+12,316 pages,Pădurea spânzuraţilor
Joss Whedon|John Cassaday,9.78E+12,152 pages,"Astonishing X-Men, Volume 1: Gifted"
Joseph Conrad|Robert Hampson,9.78E+12,410 pages,Victory
James Goldman,9.78E+12,103 pages,The Lion in Winter
Bill Bryson,9.78E+12,270 pages,The Mother Tongue: English and How It Got That Way
Philippa Gregory,9.78E+12,438 pages,The Other Queen
P.C. Cast,9.78E+12,355 pages,Goddess of Light
Vivian Vande Velde,9.78E+12,196 pages,Dragon's Bait
Robin Jones Gunn,9.78E+12,489 pages,"Christy Miller Collection, Vol. 1"
Anita Shreve,9.78E+12,282 pages,Light on Snow
Robin Benway,9.78E+12,314 pages,"Audrey, Wait!"
N.D. Wilson,9.78E+12,289 pages,100 Cupboards
Peter V. Brett,9.78E+12,639 pages,The Daylight War
Sharon Creech,9.78E+12,208 pages,Chasing Redbird
Karen Joy Fowler,9.78E+12,310 pages,We Are All Completely Beside Ourselves
Nancy Huston,9.78E+12,326 pages,Fault Lines
Laura Moriarty,9.78E+12,252 pages,The Center of Everything
James Thurber|Marc Simont,9.78E+12,128 pages,The 13 Clocks
T. Coraghessan Boyle,9.78E+12,496 pages,The Road to Wellville
Leo Tolstoy|Constance Garnett,9.78E+12,352 pages,The Kingdom of God Is Within You
R.A. Salvatore,9.78E+12,343 pages,Exile
Robert Specht,9.78E+12,342 pages,Tisha: The Wonderful True Love Story of a Young Teacher in the Alaskan Wilderness
Christopher Pike,9.78E+12,789 pages,Remember Me
Jamie McGuire,9.78E+12,276 pages,Eden
Tyler Whitesides,9.78E+12,300 pages,Janitors
Sophie McKenzie,9.78E+12,283 pages,"Girl, Missing"
