author,isbn,pages,title
Philip Pullman,9.78E+12,399 pages,The Golden Compass
Ray Bradbury,9.78E+12,227 pages,Fahrenheit 451
Nicholas Sparks,9.78E+12,214 pages,The Notebook
Ernest Hemingway,9.78E+12,132 pages,The Old Man and the Sea
Charles Dickens,9.78E+12,512 pages,Great Expectations
Edgar Allan Poe,9.78E+12,821 pages,The Complete Stories and Poems
John Irving,9.78E+12,637 pages,A Prayer for Owen Meany
A.A. Milne|Ernest H. Shepard,9.78E+12,145 pages,Winnie-the-Pooh
Leo Tolstoy|Richard Pevear|Larissa Volokhonsky,9.78E+12,838 pages,Anna Karenina
Herman Melville|Andrew Delbanco|Tom Quirk,9.78E+12,720 pages,"Moby-Dick or, The Whale"
Anne Rice,9.78E+12,342 pages,Interview with the Vampire
George Orwell|Erich Fromm,9.78E+12,328 pages,1984
Anita Diamant,9.78E+12,336 pages,The Red Tent
Sue Monk Kidd,9.78E+12,336 pages,The Secret Life of Bees
J.K. Rowling|Mary GrandPré,9.78E+12,435 pages,Harry Potter and the Prisoner of Azkaban
Cassandra Clare,9.78E+12,481 pages,Clockwork Angel
Jeffrey Eugenides,9.78E+12,529 pages,Middlesex
Charles Dickens|Marisa Sestino,9.78E+12,505 pages,Great Expectations
Mark Twain|Guy Cardwell|John Seelye,9.78E+12,244 pages,The Adventures of Tom Sawyer
Agatha Christie,9.78E+12,264 pages,And Then There Were None
Mikhail Bulgakov|Katherine Tiernan O'Connor|Ellendea Proffer|Diana Burgin,9.78E+12,373 pages,The Master and Margarita
Roald Dahl|Quentin Blake,9.78E+12,176 pages,Charlie and the Chocolate Factory
J.K. Rowling|Mary GrandPré,9.78E+12,734 pages,Harry Potter and the Goblet of Fire
Stephen King,9.78E+12,447 pages,The Shining
Jack Kerouac,9.78E+12,307 pages,On the Road
Christopher Paolini,9.78E+12,503 pages,Eragon
Eric Carle,9.78E+12,26 pages,The Very Hungry Caterpillar
Mitch Albom|Saulius Dagys,9.78E+12,210 pages,Tuesdays with Morrie
Daniel Keyes,9.78E+12,311 pages,Flowers for Algernon
Carlos Ruiz Zafón|Lucia Graves,9.78E+12,487 pages,The Shadow of the Wind
Patrick Rothfuss,9.78E+12,662 pages,The Name of the Wind
John Green,9.78E+12,221 pages,Looking for Alaska
Mark Haddon,9.78E+12,226 pages,The Curious Incident of the Dog in the Night-Time
Milan Kundera|Michael Henry Heim|千野栄一,9.78E+12,320 pages,The Unbearable Lightness of Being
Franz Kafka|Stanley Corngold,9.78E+12,201 pages,The Metamorphosis
Umberto Eco|William Weaver|Seán Barrett,9.78E+12,536 pages,The Name of the Rose
Nathaniel Hawthorne|Thomas E. Connolly|Nina Baym,9.78E+12,238 pages,The Scarlet Letter
J.K. Rowling|Mary GrandPré,9.78E+12,652 pages,Harry Potter and the Half-Blood Prince
Becca Fitzpatrick,9.78E+12,391 pages,"Hush, Hush"
Mitch Albom,9.78E+12,196 pages,The Five People You Meet in Heaven
Mario Puzo|Robert Thompson|Peter Bart,9.78E+12,448 pages,The Godfather
Truman Capote,9.78E+12,343 pages,In Cold Blood
Leo Tolstoy|Aylmer Maude|Louise Maude,9.78E+12,964 pages,Anna Karenina
Larry McMurtry,9.78E+12,945 pages,Lonesome Dove
Dr. Seuss,9.78E+12,61 pages,The Cat in the Hat
Chuck Palahniuk,9.78E+12,218 pages,Fight Club
Louis Sachar,9.78E+12,233 pages,Holes
Frank Herbert,9.78E+12,528 pages,Dune
Laura Ingalls Wilder|Garth Williams,9.78E+12,2700 pages,The Little House Collection
Neil Gaiman,9.78E+12,635 pages,American Gods
Alan Moore|Dave Gibbons|John Higgins,9.78E+12,416 pages,Watchmen
Dante Alighieri|Allen Mandelbaum|Eugenio Montale,9.78E+12,798 pages,The Divine Comedy
Reduced Shakespeare Company|Jess Borgeson|Adam Long|Daniel Singer|Jess Winfield,9.78E+12,137 pages,The Compleat Works of Wllm Shkspr (abridged)
J.M. Barrie|Michael Hague,9.78E+12,176 pages,Peter Pan
Patrick Süskind|John E. Woods,9.78E+12,263 pages,Perfume: The Story of a Murderer
Erich Maria Remarque|A.W. Wheen,9.78E+12,296 pages,All Quiet on the Western Front
C.S. Lewis,9.78E+12,206 pages,"The Lion, the Witch and the Wardrobe"
Richelle Mead,9.78E+12,443 pages,Shadow Kiss
Alexandre Dumas|Robin Buss,9.78E+12,1276 pages,The Count of Monte Cristo
Stephen King,9.78E+12,1116 pages,It
Rick Riordan,9.78E+12,381 pages,The Last Olympian
Nicholas Sparks,9.78E+12,240 pages,A Walk to Remember
Gabriel García Márquez|Edith Grossman,9.78E+12,348 pages,Love in the Time of Cholera
Veronica Roth,9.78E+12,525 pages,Insurgent
Colleen McCullough,9.78E+12,692 pages,The Thorn Birds
J.K. Rowling|Mary GrandPré,9.78E+12,341 pages,Harry Potter and the Chamber of Secrets
Dr. Seuss,9.78E+12,64 pages,How the Grinch Stole Christmas!
Zora Neale Hurston,9.78E+12,219 pages,Their Eyes Were Watching God
Ian McEwan,9.78E+12,351 pages,Atonement
Oscar Wilde,9.78E+12,76 pages,The Importance of Being Earnest
Douglas Adams,9.78E+12,815 pages,The Ultimate Hitchhiker's Guide to the Galaxy
Richelle Mead,9.78E+12,327 pages,Frostbite
Elizabeth Gilbert,9.78E+12,334 pages,"Eat, Pray, Love"
L. Frank Baum|W.W. Denslow,9.78E+12,154 pages,The Wonderful Wizard of Oz
Margaret Wise Brown|Clement Hurd,9.78E+12,32 pages,Goodnight Moon
Dr. Seuss,9.78E+12,72 pages,The Lorax
Richelle Mead,9.78E+12,503 pages,Blood Promise
Wilson Rawls,9.78E+12,212 pages,Where the Red Fern Grows
Pearl S. Buck,9.78E+12,418 pages,The Good Earth
Thomas Hardy|Margaret R. Higonnet|Tim Dolin,9.78E+12,518 pages,Tess of the D'Urbervilles
